,codigo_centro,codigo_titulacion,nombre_titulacion,porcentaje_aprobados,creditos_aprobados,creditos_matriculados,anyo
455,38,538,grado en periodismo  ,0.9087591240875912,5976.0,6576.0,2020
456,38,539,grado en comunicacion audiovisual  ,0.8877254217568353,9156.0,10314.0,2020
457,28,541,grado en educacion primaria ,0.8826263621252232,14336.5,16243.0,2020
458,28,542,grado en fisioterapia  ,0.9570726975080337,15785.0,16493.0,2020
459,28,543,doble grado en finanzas y contabilidad y relac laborales y recurs humanos,0.8114035087719298,1110.0,1368.0,2020
460,28,544,grado en educacion infantil    ,0.9590064269584854,11042.0,11514.0,2020
461,38,550,doble grado en periodismo y comunicacion audiovisual (2016),0.8903225806451613,828.0,930.0,2020
462,28,552,grado en ccactividad fisica y del deporte   ,0.965991902834008,7158.0,7410.0,2020
463,28,553,doble grado en fisioterapia y ciencias de la actividad fisica y del deporte,0.9520958083832335,954.0,1002.0,2020
464,28,m547,mu en profesorado de eso bachiller fp y enseñanzas de idiomas  ,0.9869375907111756,5440.0,5512.0,2020
465,1,151,grado en administracion y direccion de empresas,0.5704945692291469,64920.0,113796.0,2018
466,5,153,grado en biologia,0.7514696276943175,41418.0,55116.0,2018
467,18,154,grado en ciencias de la actividad fisica y del deporte,0.8574429771908764,17142.0,19992.0,2018
468,20,155,grado en derecho,0.7078918133652368,99405.0,140424.0,2018
469,1,156,grado en economia,0.5543583145706015,20682.0,37308.0,2018
470,11,157,grado en enfermeria,0.8521706385496799,47523.0,55767.0,2018
471,19,158,grado en farmacia,0.7290388246400755,74134.5,101688.0,2018
472,16,159,grado en filologia hispanica,0.592934564431955,17724.0,29892.0,2018
473,12,160,grado en filosofia,0.7112647417649451,10494.0,14754.0,2018
474,7,161,grado en finanzas y contabilidad,0.5070960305453498,42234.0,83286.0,2018
475,6,162,grado en fisica,0.6623762376237624,16056.0,24240.0,2018
476,11,163,grado en fisioterapia,0.865974025974026,18337.0,21175.0,2018
477,4,164,grado en geografia y gestion del territorio,0.6601887840088839,7134.0,10806.0,2018
478,4,166,grado en historia,0.6462839711591791,27966.0,43272.0,2018
479,4,167,grado en historia del arte,0.6303666562206205,24138.0,38292.0,2018
480,17,171,grado en matematicas,0.6341897233201581,19254.0,30360.0,2018
481,14,172,grado en medicina,0.8829279821244413,102737.5,116360.0,2018
482,10,173,grado en odontologia,0.8328792007266121,22008.0,26424.0,2018
483,18,174,grado en pedagogia,0.9046534331272372,33360.0,36876.0,2018
484,11,175,grado en podologia,0.7864854058376649,11802.0,15006.0,2018
485,13,176,grado en psicologia,0.858826884684856,54204.0,63114.0,2018
486,22,177,grado en quimica,0.6256475192816853,24457.5,39091.5,2018
487,8,178,grado en relaciones laborales y recursos humanos,0.6305023026668095,35322.0,56022.0,2018
488,7,179,grado en turismo,0.6513664101883789,44190.0,67842.0,2018
489,1,180,grado en marketing e investigacion de mercados,0.7105729474305966,21654.0,30474.0,2018
490,16,181,grado en estudios arabes e islamicos,0.6290726817042607,3012.0,4788.0,2018
491,16,182,grado en estudios franceses,0.5961376994122586,8520.0,14292.0,2018
492,16,183,grado en estudios ingleses,0.6920451172454735,27978.0,40428.0,2018
493,16,184,grado en filologia clasica,0.6503006012024048,3894.0,5988.0,2018
494,16,185,grado en lengua y literatura alemanas,0.6299711815561959,6558.0,10410.0,2018
495,4,188,grado en antropologia social y cultural,0.6546463245492372,8496.0,12978.0,2018
496,21,190,grado en bellas artes,0.8467443844185385,35736.0,42204.0,2018
497,2,192,grado en comunicacion audiovisual,0.8760438840674636,32100.0,36642.0,2018
498,21,193,grado en conservacion y restauracion de bienes culturales,0.8323900740095778,11472.0,13782.0,2018
499,18,194,grado en educacion infantil,0.9654681905135626,39366.0,40774.0,2018
500,18,195,grado en educacion primaria,0.8598462808094407,113047.0,131473.5,2018
501,17,196,grado en estadistica,0.6637490882567469,5460.0,8226.0,2018
502,45,197,grado en ingenieria aeroespacial,0.6469816272965879,24403.5,37719.0,2018
503,9,198,grado en ingenieria agricola,0.46737874277709685,20019.0,42832.5,2018
504,45,199,grado en ingenieria de las tecnologias de telecomunicacion,0.5184111563773112,19851.0,38292.0,2018
505,23,200,grado en ingenieria electrica,0.5054191550541915,6855.0,13563.0,2018
506,23,201,grado en ingenieria electronica industrial,0.4818159628996827,11844.0,24582.0,2018
507,23,202,grado en ingenieria en diseño industrial y desarrollo del producto,0.601842012043925,20388.0,33876.0,2018
508,45,203,grado en ingenieria de tecnologias industriales,0.6354095184273201,47223.0,74319.0,2018
509,3,204,grado en ingenieria informatica-ingenieria de computadores,0.47980855518994914,9624.0,20058.0,2018
510,3,205,grado en ingenieria informatica-ingenieria del software,0.6741922536624524,40314.0,59796.0,2018
511,3,206,grado en ingenieria informatica-tecnologias informaticas,0.5311982330204307,17316.0,32598.0,2018
512,23,207,grado en ingenieria mecanica,0.5266001662510391,15204.0,28872.0,2018
513,45,208,grado en ingenieria quimica,0.5224958663301714,9006.0,17236.5,2018
514,23,209,grado en ingenieria quimica industrial,0.4234158623583718,6054.0,14298.0,2018
515,2,210,grado en periodismo,0.7971033234191129,55476.0,69597.0,2018
516,2,211,grado en publicidad y relaciones publicas,0.8595860375372741,29403.0,34206.0,2018
517,14,217,grado en biomedicina basica y experimental,0.904670994018073,10662.0,11785.5,2018
518,20,218,grado en criminologia,0.9549128030625266,13470.0,14106.0,2018
519,12,219,grado en estudios de asia oriental por la us y la ude malaga,0.860313315926893,11862.0,13788.0,2018
520,45,221,grado en ingenieria de la energia por la us y la u malaga,0.5498204667863554,9187.5,16710.0,2018
521,6,222,grado en ingenieria de materiales,0.75344105326152,5665.5,7519.5,2018
522,19,223,grado en optica y optometria,0.9250697489039458,13926.0,15054.0,2018
523,5,224,grado en bioquimica por la u de sevilla y u de malaga,0.8716577540106952,11736.0,13464.0,2018
524,45,225,grado en ingenieria civil,0.5182636851158555,7683.0,14824.5,2018
525,3,226,grado en ingenieria de la salud por la u malaga y la usevilla,0.6798733527297621,11917.5,17529.0,2018
526,45,227,grado en ingenieria de organizacion industrial por la u m y us,0.6517617317111708,12375.0,18987.0,2018
527,45,228,grado en ingenieria electronica robotica y mecatronica (uma-us),0.650632322135154,12579.0,19333.5,2018
528,15,233,grado en fundamentos de arquitectura,0.7399277773844084,62700.0,84738.0,2018
529,4,242,grado en arqueologia por la u granada u jaen y u sevilla,0.7457983193277311,6390.0,8568.0,2018
530,98,244,grado en edificacion,0.536241610738255,14382.0,26820.0,2018
531,2,m036,mu en comunicacion y cultura (rd1393/07),0.8556005398110661,1268.0,1482.0,2018
532,302,m037,mu en artes del espectaculo vivo (rd1393/07),0.8129411764705883,1382.0,1700.0,2018
533,302,m039,mu en estudios de genero y desarrollo profesional (rd07),0.8180722891566266,1358.0,1660.0,2018
534,15,m040,mu en peritacion y reparacion de edificios,0.5625,432.0,768.0,2018
535,13,m041,mu en psicologia de las organizaciones y del trabajo (07),0.8161350844277674,2610.0,3198.0,2018
536,15,m043,mu en urbanismo planeamiento y diseño urbano ,0.8210800260247235,1262.0,1537.0,2018
537,302,m044,mu profesorado de eso y bachillerato f p y ede idiomas ,0.9930004268032437,23266.0,23430.0,2018
538,18,m049,mu en actividad fisica y cdad de vida de perso adultas y mayo,0.8535620052770448,1294.0,1516.0,2018
539,4,m050,mu en arqueologia (rd1393/07),0.7441860465116279,1344.0,1806.0,2018
540,15,m051,mu en arquitectura y patrimonio historico (rd1393/07),0.764344262295082,1865.0,2440.0,2018
541,21,m052,mu en arte: idea y produccion (rd1393/07),0.7730627306273062,1676.0,2168.0,2018
542,302,m056,mu en ciencia y tecnologia de nuevos materiales (rd1393/07),0.9368983957219251,1752.0,1870.0,2018
543,20,m061,mu en derecho constitucional (rd1393/07),0.8218694885361552,1398.0,1701.0,2018
544,20,m062,mu en derecho publico (rd1393/07),0.8577494692144374,808.0,942.0,2018
545,7,m063,mu en direccion y planificacion del turismo (rd1393/07),0.8038379530916845,1508.0,1876.0,2018
546,18,m064,mu en direccion evaluacion y calidad de las instituciones de for,0.850909090909091,1404.0,1650.0,2018
547,4,m067,mu en documentos y libros archivos y bibliotecas ,0.8082505729564553,2116.0,2618.0,2018
548,1,m068,mu en economia y desarrollo (rd1393/07),0.697396199859254,991.0,1421.0,2018
549,16,m070,mu en endel español como l extranjera y de otras l modernas ,0.9021335807050093,1945.0,2156.0,2018
550,2,m071,mu en escritura creativa (rd1393/07),0.7391540130151844,1363.0,1844.0,2018
551,13,m073,mu en estudios avanzados en cerebro y conducta ,0.9209302325581395,1980.0,2150.0,2018
552,22,m075,mu en estudios avanzados en quimica (rd1393/07),0.9102564102564102,1136.0,1248.0,2018
553,16,m076,mu en estudios hispanicos superiores (rd1393/07),1.065326633165829,1272.0,1194.0,2018
554,6,m082,mu en fisica nuclear (master interuniversitario) (rd1393/07),0.7988165680473372,810.0,1014.0,2018
555,302,m083,mu en fisiologia y neurociencia (rd1393/07),0.9222222222222223,2075.0,2250.0,2018
556,1,m085,mu en gestion estrategica y negocios internacionales ,0.791958041958042,1359.0,1716.0,2018
557,98,m086,mu en gestion integral de la edificacion (rd1393/07),0.7915224913494809,915.0,1156.0,2018
